"state.country.isoCode";"state.id";"name";"nameExtension";"postalCode";"areaCode";"language";"population"
"VN";"HN";"Hà Nội";"Thủ đô";100000;24;"vi";8000000
"VN";"SG";"Thành phố Hồ Chí Minh";"Quận 1";700000;28;"vi";9000000
"VN";"DN";"Đà Nẵng";"Hải Châu";550000;236;"vi";1100000
"VN";"HP";"Hải Phòng";"Hồng Bàng";180000;225;"vi";2000000
"VN";"CT";"Cần Thơ";"Ninh Kiều";900000;292;"vi";1300000
"VN";"KH";"Nha Trang";"Vĩnh Hải";650000;258;"vi";535000
"VN";"BD";"Thủ Dầu Một";"Chánh Nghĩa";820000;274;"vi";320000
"VN";"TT";"Huế";"Phú Hội";530000;234;"vi";460000
